,date,location,location_name,value
15563,2020-09-08,12,Florida,342
15564,2020-08-15,10,Delaware,5
15565,2020-08-12,36,New York,79
15566,2020-09-19,18,Indiana,96
15567,2020-09-11,40,Oklahoma,105
15568,2020-10-06,21,Kentucky,191
15569,2020-08-03,29,Missouri,45
15570,2020-10-05,27,Minnesota,80
15571,2020-09-03,06,California,405
15572,2020-09-05,20,Kansas,28
15573,2020-08-01,55,Wisconsin,68
15574,2020-08-23,29,Missouri,90
15575,2020-07-18,51,Virginia,128
15576,2020-08-17,29,Missouri,79
15577,2020-07-31,15,Hawaii,11
15578,2020-07-17,51,Virginia,110
15579,2020-08-31,18,Indiana,53
15580,2020-09-09,78,Virgin Islands,0
15581,2020-08-04,27,Minnesota,20
15582,2020-07-26,13,Georgia,203
15583,2020-08-15,25,Massachusetts,16
15584,2020-07-09,13,Georgia,0
15585,2020-09-16,26,Michigan,54
15586,2020-10-02,37,North Carolina,102
15587,2020-10-03,04,Arizona,61
15588,2020-08-17,04,Arizona,112
15589,2020-09-14,50,Vermont,2
15590,2020-09-14,22,Louisiana,92
15591,2020-09-27,30,Montana,34
15592,2020-09-09,18,Indiana,142
15593,2020-08-15,31,Nebraska,13
15594,2020-10-02,08,Colorado,31
15595,2020-08-28,28,Mississippi,115
15596,2020-07-14,15,Hawaii,4
15597,2020-10-07,42,Pennsylvania,100
15598,2020-07-31,09,Connecticut,11
15599,2020-08-12,05,Arkansas,68
15600,2020-09-29,02,Alaska,5
15601,2020-08-08,48,Texas,652
15602,2020-06-25,36,New York,0
15603,2020-09-25,20,Kansas,59
15604,2020-09-10,10,Delaware,10
15605,2020-08-07,01,Alabama,101
15606,2020-08-28,56,Wyoming,5
15607,2020-07-19,26,Michigan,19
15608,2020-07-14,35,New Mexico,19
15609,2020-07-14,47,Tennessee,180
15610,2020-10-06,31,Nebraska,22
15611,2020-06-17,44,Rhode Island,0
15612,2020-09-30,34,New Jersey,40
15613,2020-09-16,41,Oregon,13
15614,2020-07-28,48,Texas,945
15615,2020-09-09,33,New Hampshire,1
15616,2020-07-15,48,Texas,1014
15617,2020-10-07,27,Minnesota,63
15618,2020-08-27,34,New Jersey,31
15619,2020-09-04,50,Vermont,0
15620,2020-08-11,16,Idaho,24
15621,2020-09-06,41,Oregon,5
15622,2020-09-29,35,New Mexico,19
15623,2020-07-28,23,Maine,7
15624,2020-09-20,51,Virginia,39
15625,2020-08-09,05,Arkansas,58
15626,2020-07-29,56,Wyoming,5
15627,2020-09-30,26,Michigan,82
15628,2020-10-06,19,Iowa,64
15629,2020-07-21,06,California,453
15630,2020-08-26,08,Colorado,27
15631,2020-07-24,02,Alaska,11
15632,2020-09-26,02,Alaska,7
15633,2020-08-30,30,Montana,25
15634,2020-07-20,13,Georgia,228
15635,2020-07-22,30,Montana,12
15636,2020-08-24,08,Colorado,20
15637,2020-09-05,26,Michigan,34
15638,2020-10-01,09,Connecticut,17
15639,2020-08-25,28,Mississippi,93
15640,2020-08-11,45,South Carolina,102
15641,2020-08-14,44,Rhode Island,10
15642,2020-07-05,44,Rhode Island,0
15643,2020-07-29,37,North Carolina,195
15644,2020-09-13,13,Georgia,158
15645,2020-08-25,44,Rhode Island,3
15646,2020-09-11,06,California,348
15647,2020-08-10,17,Illinois,98
15648,2020-09-13,54,West Virginia,14
15649,2020-07-30,02,Alaska,3
15650,2020-07-22,46,South Dakota,2
15651,2020-09-26,72,Puerto Rico,21
15652,2020-09-22,04,Arizona,49
